user,comment,title_ID
이연LEEYEON,진짜 이 사람이 어떻게 P지...! 프로 계획러가 보기에도 희열돋는 영상입니다,0
가을뜰,"앤드류님, 새해 복 많이 받으세요!!

저도 자기확신이 필요할 때 앤드류님 영상 다시 보는 1인입니다~

도전하겠다고 결심하고, 다시 망설이는 순간들이 반복되고 있어요.
올해는 꼭 시작합니다!!",0
바나나,"1. 지난해 돌아보기
나를 돌아보지 않으면 얼마나 성장했는지 모름. 현시점을 어디에 왔는지 생각해 봐야 한다.
-회고록 쓰기. 플래너.
잘한게 뭔지 잘 못한게 뭔지
뭘 개선 시킬지 뭘 더 성장 할지 알아야 한다.
왜 잘하게 되었는지 왜 못하게 되었는지
이유를 찾고 개선 할 점을 찾는게 중요하다

2. 목표를 3가지 정하기
상반기에 이뤄내면 하반기에 더 만들기

3. 그 목표를 이뤄내기 위해서 단계별로 정리하기
기간 별로 
1년. 월. 하루. 목표로 쪼개기

4. 목표를 위해 환경을 조성하기
지금 내 환경에서 나에게 필요한 환경을 조성하기. 불평 하지 말고. 하나 씩 채워나가고 성공을 하면 투자를 하면 돼.
작게 시작을 하고 점점 키워나가면 돼
나의 공간과 시간을 만들고
나를 발전하는 시간으로 썼다.
이 시간이 많아 질 수록 나는 성공에 더 가까워지는 것이었다",0
지온,"긍정이 부정을 지배하고
기록이 기억을 지배한다고…
오늘 영상 진짜 느끼는 게 많아요!
꼭 실천해보겠습니다 ❤️",0
용감무쌍 샤일로SHILOH,"새해에 보기 가장 유익한 영상 1위,,,✨
2021년 앤드류님을 알게 되어서 새롭게 하고 싶었던 일들에 도전해볼 용기가 생겼고, 아직 부족하고, 자신감이 없지만 매주 영상 보면서 나도 될지도 몰라라는 생각으로 변화시켜주셔서 감사합니다🔥
이번 2022년은 조금 더 자신감을 가지고 해나갈 수 있는 사람이 되어보려구요,,! 계속 영상 보면서 힘 얻어가겠습니당!!! 
HAPPY NEW YEAR ⭐️",0
은송공방 Eunsong's Atelier,앤드류님의 2016년과 2017년이 지금의 제 모습과 굉장히 닮아있다는 사실이 강력한 응원이 되네요! 올해도 좋아하는 일로 행복하게 일하고 싶은 사람들을 위한 영상들 많이 만들어주세요♡,0
랄라,다른 유트브랑 다른 점은 정말 진실되게 항상 응원해주는 앤드류다 사람들이 정말 잘 되길 바라는 마음으로 컨텐츠를 만드니 잘 될 수 밖에..,0
김유진REDJIN,"• 2021 회고
 - 잘한 일 : 춤과 공부 포기하지 않고 둘 다 해낸 것. 학점 관리 잘 해서 4점대로 졸업하고, 과외도 열심히 해서 돈도 많이 벌어보고, 안무짜고 컨텐츠 만들면서 대회 우승도 해보고, World of Dance의 인플루언서가 되었다. 내가 좋아하는 아티스트에게 내 안무를 가르치면서 함께 안무 영상도 찍었다

- 못한 일 : 더 많은 일을 해낼 수 있었는데 계획적이게 나를 움직이지 못하고 미적 거린 것. 마감일이 되어서야 부랴부랴 하느라 퀄리티를 높이지 못한 것. 나만의 루틴을 만들지 못한 것. 남들의 시선을 생각하면서 사리다가 정작 과감하게 도전하지 못한 것.

• 2022 목표 : 드로우앤드류 채널의 그린룸 토크에 나올 만큼 좋은 콘텐츠 만들기 (10만 조회수부터 목표 잡기)

• 월별 계획 : 한 달에 4-5개의 콘텐츠를 만들며 사람들의 반응이나 니즈 파악하기

• 주별 계획 : 콘텐츠 기획부터 촬영 제작에 시간 쏟기!

• 자기 암시 : 난 할 수 있다!! 난 할 수 있다!! 왜냐면 난 항상 이전의 나보다 발전해왔으니까!",0
onull 오눌,"2022년 플래너에 올해 큰 목표들 정리하다가 노래 틀려고 유튜브 들어왔는데, 마침 영상 올라와있어서 냅다 들어와서 봤어요. 올해는 앤드류님 덕분에 목표달성이 잘될것같은걸요.😎 고마워요!🌿",0
Cafe Maddy,이상하게 무력해지는 새해였는데 영상보고 자신감 과 영감 얻어가요!! 벌써 생각지도 못한 목표가 몇가지 떠올라서 적어놨어요. 감사해요 드로우앤드류💜,0
YJ,"앤드류님 저는 ""그래 너 돼. 지금 하고있는게 맞아"" 라고 다시 들으려고 들어와요
방구석에서 혼자 하는일이라 진짜 지치고 무너질꺼같을 때 앤드류님 찾아옵니다. 
리마인드 컨텐츠도 성공하신거 같은데요? 😊",0
tiffany,"새해계획 세우려고 마음먹었는데 이 영상이 올라와서 바로 봤어요! 먼저 작년을 돌아보고 체계적으로 목표를 세워봐야겠네요
드로우앤드류님이 2017년에는 아무도 나를 봐주지 않았다고 했었지만, 저는 2017년부터 드로우앤드류님을 봤었어요 그동안 함께 정말 성장할 수 있었고, 앤드류님이 정말 대단하다고 느꼈었어요
항상 긍정적인 에너지와 도전할 수 있는 힘을 주셔서 감사합니다
2022년도 함께할게요! 응원합니다",0
giri girl,"작년 앤드류님을 알게되고 너무 많은 영감을 받았어요! 눈이 번쩍 뜨이는 느낌 
그래서 나도 스스로 영향력있다는 것을 결과물로써 이뤄내야지 하는 마음으로 클래스 101도 신청했었는데.. 이직하면서 일에 치이다보니 ㅠ 강의 못들은지도 한달이 넘어가네요. 새해에는 아무리 바빠도 외부적인 것들에 휘청이지않고 좀더 단단하게 저를 잡아보려는 계획을 세워야겠습니다! 늘 긍적적인 에너지 리마인드 시켜주셔서 감사해요! 작년에 얻은 큰 수확 중 하나가 정말 앤드류님을 알게된거라해도 과언이 아님 ㅋㅋㅋ 올해도 잘 부탁드립니다! 2022에도 우리 존재 화이팅!",0
정아,"매일매일 그냥 침대에 누워만 있었는데..앤드류님 영상을 보고 작은것부터 도전해 나가기 시작했어요 
근데 진짜 그 작은거 하나가 저에게 엄청 큰 성취감을 주더라구요
그래서 이제 조금 더 큰 목표를 세우고 체계적으로 계획도 세워서 올 한해를 살아보려구요
이번 영상도 정말 너무 감사합니다",0
아침1도 - 평범한 사람이 부자되기,"정말 대단하세요!! 회고록부터가 시작인가요? 목표와 계획이 너무 깔끔하게 정리가 되니까 당연히 행동으로 이어지는 것 같아요!!
배우고 갑니다^^",0
